GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestUnitarioAV1,org.example,Produto,33,21,2,0,12,8,6,4,5,4
TestUnitarioAV1,org.example,Venda,37,0,2,0,11,0,6,0,5,0
